,Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago,User name
47,0.5423,Sat May 26 20:39:22 +0000 2018,0.138,0.595,0.268,"RT @BBCSport: 🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆

It's heartbreak for Liverpool as Real Madrid win their 13th Champions League title.

FT 3-1

https://t.co/Hr5J…",48,@BBCBreaking
48,0.128,Sat May 26 17:33:38 +0000 2018,0.13,0.71,0.16,"The final result in Ireland's abortion reform referendum

Yes 1,429,981
No 723,632

https://t.co/urPAqRybLz https://t.co/8665LHVeOC",49,@BBCBreaking
49,-0.5423,Sat May 26 17:18:01 +0000 2018,0.174,0.773,0.053,Official result: Republic of Ireland votes resoundingly to overturn abortion ban with voters backing reform of cons… https://t.co/1ghSuV99Ff,50,@BBCBreaking
50,0.0,Sat May 26 12:04:49 +0000 2018,0.0,1.0,0.0,"Irish PM hails ""quiet revolution"" as early results point to ""resounding"" referendum vote for overturning abortion b… https://t.co/fW4uTOgwOc",51,@BBCBreaking
51,0.0,Sat May 26 11:08:51 +0000 2018,0.0,1.0,0.0,Leaders of both Koreas meet in border zone as efforts continue to reschedule Donald Trump's summit with Kim Jong-un https://t.co/ZNdh7ZZZAk,52,@BBCBreaking
52,0.0516,Sat May 26 09:34:09 +0000 2018,0.149,0.644,0.208,'No' campaign spokesman accepts defeat in Ireland referendum which will allow liberalisation of abortion law… https://t.co/b8Fn4jPkTj,53,@BBCBreaking
53,0.0,Fri May 25 22:28:07 +0000 2018,0.0,1.0,0.0,Exit polls suggest the Republic of Ireland has voted by a landslide to liberalise its strict abortion laws https://t.co/FeHK5CKrvI,54,@BBCBreaking
54,-0.9325,Fri May 25 16:16:31 +0000 2018,0.5,0.5,0.0,"A 95-year-old man arrested on suspicion of murder after female carer died of head injuries, London police say https://t.co/Wttf0ezBRU",55,@BBCBreaking
55,-0.9337,Fri May 25 12:31:35 +0000 2018,0.468,0.532,0.0,"Harvey Weinstein is charged with rape and a criminal sex act on two women, after months of sexual abuse allegations https://t.co/xKlFuMthOA",56,@BBCBreaking
56,-0.2732,Fri May 25 11:26:42 +0000 2018,0.11,0.89,0.0,Film producer Harvey Weinstein arrives at NY police station where he's expected to answer sexual misconduct charges https://t.co/SVJvYQ0BCT,57,@BBCBreaking
57,-0.8885,Fri May 25 09:47:42 +0000 2018,0.368,0.632,0.0,"Man who attacked D-Day veteran, 96, with hammer during raid on his home in Somerset found guilty of attempted murder https://t.co/LXYx1mLb9y",58,@BBCBreaking
58,-0.2023,Fri May 25 08:37:26 +0000 2018,0.107,0.893,0.0,Australia and Netherlands formally accuse Russia of responsibility for downing MH17 passenger jet in 2014 https://t.co/zyMC4Ccbyz,59,@BBCBreaking
59,-0.2732,Thu May 24 19:59:31 +0000 2018,0.116,0.884,0.0,"Hollywood mogul Harvey Weinstein expected to surrender to police on sexual misconduct charges, US media report https://t.co/NzeaFHi9FZ",60,@BBCBreaking
60,0.7808,Thu May 24 16:14:09 +0000 2018,0.0,0.708,0.292,"""Hopefully positive things will be taking place... but if they don't, we are more ready than we have ever been befo… https://t.co/jgzyXyqNwm",61,@BBCBreaking
61,-0.9136,Thu May 24 15:42:50 +0000 2018,0.478,0.438,0.084,Two men jailed for life for murder of four children in petrol bomb attack in Greater Manchester https://t.co/fEgISmD1y5,62,@BBCBreaking
62,0.8656,Thu May 24 14:02:08 +0000 2018,0.0,0.65,0.35,"""You talk about your nuclear capabilities, but ours are so massive and powerful that I pray to God they will never… https://t.co/NmbqVRuyAV",63,@BBCBreaking
